acquisitiondate,boro,zipcode,address,eapply,location,acres,typecategory,retired
1934 Dec 13 12:00:00 AM,Manhattan,10039,"NA, New York, NY",Bill Bojangles Robinson Playground,"W. 150 St., W/s 7 Ave.",0.17200000000000001,Playground,FALSE
1911 Oct 19 12:00:00 AM,Manhattan,"10033, 10040","NA, New York, NY",Bennett Rest,"Henry Hudson Pkwy, Cabrini Blvd, at W186 St",3.567,Nature Area,FALSE
1942 Jun 08 12:00:00 AM,Manhattan,10035,"NA, New York, NY",Strip,E. 120 St. and Paladino Ave. (Service Rd To FDR Dr.),0.188,Strip,FALSE
1917 Aug 01 12:00:00 AM,Manhattan,10032,"NA, New York, NY",Strip,"E/s Riverside Dr, W 168 St To W 177 St",1.494,Strip,FALSE
1997 Apr 29 12:00:00 AM,Manhattan,10128,"NA, New York, NY",Ruppert Park,Second Ave. bet. E. 90 St. and E. 91 St.,0.997,Neighborhood Park,FALSE
1994 Mar 03 12:00:00 AM,Manhattan,10016,"NA, New York, NY",East River Esplanade 36th-38th,FDR Dr. bet. E. 36 St. and E. 41 St.,1.7349999999999999,Neighborhood Park,FALSE
1990 May 30 12:00:00 AM,Manhattan,10036,"NA, New York, NY",Ramon Aponte Park,47 St. bet. 8 Ave. and 9 Ave.,0.17400000000000002,Playground,FALSE
1989 Jun 15 12:00:00 AM,Manhattan,10014,"NA, New York, NY",Sheridan Square Viewing Garden,"Washington Pl., W. 4 St., Barrow St.",0.07,Triangle/Plaza,FALSE
1982 Apr 27 12:00:00 AM,Manhattan,10280,"NA, New York, NY",Battery Park City,bet. Hudson River and South End Ave. S/o Liberty St.,1.556,Neighborhood Park,FALSE
1984 Nov 16 12:00:00 AM,Manhattan,10036,"NA, New York, NY",Clinton Community Garden,"W. 47 St.,  W. 48 St., 9 Ave., 10 Ave.",0.35,Garden,FALSE
1977 May 26 12:00:00 AM,Manhattan,10013,"NA, New York, NY",Juan Pablo Duarte Square,"Ave. Of Americas, Canal St. and Grand St.",0.448,Triangle/Plaza,FALSE
1964 Oct 20 12:00:00 AM,Manhattan,10038,"NA, New York, NY",James Madison Plaza,"Pearl St., Madison St. and St James Pl.",0.361,Triangle/Plaza,FALSE
1961 Apr 27 12:00:00 AM,Manhattan,10038,"NA, New York, NY",Kimlau Square,"Chatham Sq., Oliver St. and E. Broadway",0.24200000000000002,Triangle/Plaza,FALSE
1912 Oct 17 12:00:00 AM,Manhattan,10031,"NA, New York, NY",Johnny Hartman Square,"Amsterdam Av, W 143 St and Hamilton Pl",0.018000000000000002,Triangle/Plaza,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10025,"NA, New York, NY",La Perla Garden,W. 105 St. bet. Columbus Ave. and Manhattan Ave.,0.04,Garden,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10009,"NA, New York, NY",Campos Garden,E. 12 St. bet. Ave. B and Ave. C,0.119,Garden,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10029,"NA, New York, NY",Neighbors Of Vega Baja,E. 109 St. bet. 1 Ave. and 2 Ave.,0.07200000000000001,Garden,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10009,"NA, New York, NY",Dias Y Flores,E. 13 St. bet. Ave. A and Ave. B,0.119,Garden,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10002,"NA, New York, NY",Clinton Community Garden (LES),Stanton St. and Clinton St.,0.06,Garden,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10009,"NA, New York, NY",Earth People,E. 8 St. bet. Ave. B and Ave. C,0.10600000000000001,Garden,FALSE
2001 Feb 09 12:00:00 AM,Manhattan,10031,"NA, New York, NY",Edgecombe Park,Edgecombe Ave. and W. 150 St.,0.112,Garden,FALSE
2001 Feb 09 12:00:00 AM,Manhattan,10031,"NA, New York, NY",Sugar Hill Garden,Edgecombe Ave. and W. 150 St.,0.06899999999999999,Garden,FALSE
1999 Jul 12 12:00:00 AM,Manhattan,10009,"NA, New York, NY",6BC Botanical Garden,"E. 5 St. and E. 6 St., Ave. B and Ave. C",0.17800000000000002,Garden,FALSE
1999 Jul 12 12:00:00 AM,Manhattan,10009,"NA, New York, NY",Green Oasis and Gilbert's Garden,E. 8 St. bet. Ave. C and Ave. D,0.388,Garden,FALSE
1999 Jul 12 12:00:00 AM,Manhattan,10009,"NA, New York, NY",Firemen's Memorial Garden,E. 8 St. bet. Ave. C and Ave. D,0.169,Garden,FALSE
1998 Jul 27 12:00:00 AM,Manhattan,10024,"NA, New York, NY",W 87th Street Garden,"W. 87 St., Columbus Ave., Central Park W.",0.095,Garden,FALSE
1998 May 11 12:00:00 AM,Manhattan,10027,"NA, New York, NY",Collyer Brothers Park,"5 Ave., E. 128 St.",0.034,Garden,FALSE
2011 Apr 18 12:00:00 AM,Manhattan,10035,"NA, New York, NY",Carolina Garden,E 122 St. bet. Park Ave. and Lexington Ave.,0.063,Garden,FALSE
1953 Oct 08 12:00:00 AM,Manhattan,10128,"NA, New York, NY",Mill Rock Park,East River Opp E. 96 St.,8.639,Nature Area,FALSE
1896 Aug 07 12:00:00 AM,Manhattan,"10032, 10033, 10034","NA, New York, NY",Fort Washington Park,"Riverside Dr., Hudson River, W. 155 St. to Dyckman St.",184.14299999999997,Community Park,FALSE
1934 May 09 12:00:00 AM,Manhattan,10014,"NA, New York, NY",Playground of the Americas,"S/s W. Houston St., Ave. of Americas",0.079,Playground,FALSE
1851 Aug 19 12:00:00 AM,Manhattan,10016,"NA, New York, NY",Park Avenue Malls 34th-39th,E 34 St To E 39 St and Park Av,0.65,Mall,FALSE
1938 Jan 01 12:00:00 AM,Manhattan,10012,"NA, New York, NY",Lt. Joseph Petrosino Square,"Kenmare St., Lafayette St., and Cleveland Pl.",0.047,Triangle/Plaza,FALSE
1930 May 02 12:00:00 AM,Manhattan,10002,"NA, New York, NY",Allen Street Malls,"E Houston St, E Broadway",1.6980000000000002,Mall,FALSE
